Kode Item,Deskripsi,Presence Count,H_norm,Max Share,Wilayah Dominan,Label
538113,GIOTTO DECOR ACRYLIC 25 ML FOREST GREEN,4,0.8844,0.4333,Jakarta Pusat,Regional
538114,GIOTTO DECOR ACRYLIC 25 ML EMERALD GREEN,4,0.8394,0.4167,Jakarta Pusat,Regional
538115,GIOTTO DECOR ACRYLIC 25 ML CYAN,4,0.8914,0.3714,Jakarta Pusat,Regional
538116,GIOTTO DECOR ACRYLIC 25 ML COBALT BLUE,4,0.9212,0.4062,Jakarta Pusat,Regional
538117,GIOTTO DECOR ACRYLIC 25 ML ULTRAMARINE BLUE,4,0.8860,0.4054,Jakarta Utara,Regional
538118,GIOTTO DECOR ACRYLIC 25 ML SKY BLUE,4,0.7981,0.5116,Jakarta Pusat,Regional
538119,GIOTTO DECOR ACRYLIC 25 ML VIOLET,4,0.8234,0.5143,Jakarta Pusat,Regional
538122,GIOTTO DECOR ACRYLIC 25 ML SEPIA,4,0.8831,0.4375,Jakarta Timur,Regional
538123,GIOTTO DECOR ACRYLIC 25 ML RAW UMBER,4,0.9322,0.3478,Jakarta Utara,Regional
538124,GIOTTO DECOR ACRYLIC 25 ML BLACK,4,0.8734,0.3704,Jakarta Pusat,Regional
538134,Simply Acrylic 75ml Sl Medium Yellow,4,0.8754,0.4000,Jakarta Timur,Regional
538149,GIOTTO DECOR ACRYLIC 25 ML GOLD,4,0.8347,0.4030,Jakarta Pusat,Regional
538150,GIOTTO DECOR ACRYLIC 25 ML SILVER,4,0.8867,0.3261,"Jakarta Pusat, Jakarta Timur",Regional
538200,"GIOTTO DECOR ACRYLIC 25ML, 6 PCS",4,0.8087,0.5833,Jakarta Pusat,Regional
538700,"GIOTTO BLACKBOARD CHALK BOX 10 PCS, WHITE",4,0.9131,0.4043,Jakarta Pusat,Regional
538900,"GIOTTO BLACKBOARD CHALK 10 PCS, ASSRTD COLS.",4,0.7181,0.5980,Jakarta Pusat,Regional
540100,GLUE STICK GIOTTO 10G,4,0.6458,0.7143,Jakarta Utara,Regional
540200,GIOTTO GLUE STICK 20G,4,0.8086,0.5455,Jakarta Utara,Regional
569800,"LYRA BRUSH SET ROUND 00, 02, 04, 06, 08 RED",4,0.8142,0.4198,Jakarta Pusat,Regional
569900,"LYRA BRUSH SET FLAT 04, 06, 08, 10, 12 BLUE",4,0.8417,0.3864,Jakarta Pusat,Regional
71100,GIOTTO TURBO COLOR W/ WALLET 12 COLS,4,0.7290,0.6053,Jakarta Pusat,Regional
8060001,806001 LYRA MODELLING CLAY 500GR WHITE,4,0.8461,0.3897,Jakarta Pusat,Regional
8060007,806007 LYRA MODELLING CLAY 500GR YELLOW,4,0.8157,0.4891,Jakarta Timur,Regional
8060013,806013 LYRA MODELLING CLAY 500GR ORANGE,4,0.8396,0.4944,Jakarta Timur,Regional
8060017,806017 LYRA MODELLING CLAY 500GR RED,4,0.8361,0.4615,Jakarta Timur,Regional
8060028,806028 LYRA MODELLING CLAY 500GR PINK,4,0.8004,0.4752,Jakarta Timur,Regional
8060047,806047 LYRA MODELLING CLAY 500GR BLUE,4,0.8190,0.4809,Jakarta Timur,Regional
8060070,806070 LYRA MODELLING CLAY 500GR GREEN,4,0.8278,0.5000,Jakarta Timur,Regional
8060076,806076 LYRA MODELLING CLAY 500GR BROWN,4,0.8238,0.4955,Jakarta Timur,Regional
8060096,806096 LYRA MODELLING CLAY 500GR GREY,4,0.8260,0.4925,Jakarta Timur,Regional
8060099,806099 LYRA MODELLING CLAY 500GR BLACK,4,0.7886,0.5197,Jakarta Timur,Regional
9210-250,LYRA-SKETCH BOOK A5 W/ 30 PAGES,4,0.8540,0.4091,Jakarta Pusat,Regional
9210-260,LYRA-SKETCH BOOK A4  W/ 30 PAGES,4,0.8737,0.5000,Jakarta Utara,Regional
9210250,LYRA-SKETCH BOOK A5 W/ 30 PAGES,4,0.7747,0.4561,Jakarta Pusat,Regional
9210260,LYRA-SKETCH BOOK A4 W/ 30 PAGES,4,0.8046,0.4872,Jakarta Timur,Regional
9210290,LYRA-SKETCH BOOK A3 W/ 30 PAGES,4,0.6243,0.5714,Jakarta Timur,Regional
